"sample","species","polymer","concentration"
"B40","Tapirus_terrestris","Polyamide",0
"B40","Tapirus_terrestris","Polyester",0
"B40","Tapirus_terrestris","Polyethylene",0
"B40","Tapirus_terrestris","Polypropylene",0
"B40","Tapirus_terrestris","Polystyrene",0
"B40","Tapirus_terrestris","PVC",0
"B40","Tapirus_terrestris","Silicon",0
"B40","Tapirus_terrestris","Rubber",1.25
"B40","Tapirus_terrestris","PET",0
"B40","Tapirus_terrestris","Teflon",0
"B41","Tapirus_terrestris","ABS",0
"B41","Tapirus_terrestris","Cellulose",0
"B41","Tapirus_terrestris","Other",290
"B41","Tapirus_terrestris","Polyamide",0
"B41","Tapirus_terrestris","Polyester",0
"B41","Tapirus_terrestris","Polyethylene",0
"B41","Tapirus_terrestris","Polypropylene",222.5
"B41","Tapirus_terrestris","Polystyrene",1.25
"B41","Tapirus_terrestris","PVC",0
"B41","Tapirus_terrestris","Silicon",0
"B41","Tapirus_terrestris","Rubber",0
"B41","Tapirus_terrestris","PET",0
"B41","Tapirus_terrestris","Teflon",0
"B42","Tapirus_terrestris","ABS",0
"B42","Tapirus_terrestris","Cellulose",0
"B42","Tapirus_terrestris","Other",37.5
"B42","Tapirus_terrestris","Polyamide",0
"B42","Tapirus_terrestris","Polyester",0
"B42","Tapirus_terrestris","Polyethylene",0
"B42","Tapirus_terrestris","Polypropylene",21.25
"B42","Tapirus_terrestris","Polystyrene",0
"B42","Tapirus_terrestris","PVC",0
"B42","Tapirus_terrestris","Silicon",0
"B42","Tapirus_terrestris","Rubber",0
"B42","Tapirus_terrestris","PET",0
"B42","Tapirus_terrestris","Teflon",0
"B43","Tapirus_terrestris","ABS",0
"B43","Tapirus_terrestris","Cellulose",1.25
"B43","Tapirus_terrestris","Other",10
"B43","Tapirus_terrestris","Polyamide",0
"B43","Tapirus_terrestris","Polyester",0
"B43","Tapirus_terrestris","Polyethylene",0
"B43","Tapirus_terrestris","Polypropylene",0
"B43","Tapirus_terrestris","Polystyrene",0
"B43","Tapirus_terrestris","PVC",0
"B43","Tapirus_terrestris","Silicon",0
"B43","Tapirus_terrestris","Rubber",0
"B43","Tapirus_terrestris","PET",0
"B43","Tapirus_terrestris","Teflon",0
"B44","Tapirus_terrestris","ABS",0
"B44","Tapirus_terrestris","Cellulose",0
"B44","Tapirus_terrestris","Other",1.25
"B44","Tapirus_terrestris","Polyamide",0
"B44","Tapirus_terrestris","Polyester",0
"B44","Tapirus_terrestris","Polyethylene",0
"B44","Tapirus_terrestris","Polypropylene",0
"B44","Tapirus_terrestris","Polystyrene",5
"B44","Tapirus_terrestris","PVC",3.75
"B44","Tapirus_terrestris","Silicon",1.25
"B44","Tapirus_terrestris","Rubber",0
"B44","Tapirus_terrestris","PET",0
"B44","Tapirus_terrestris","Teflon",0
"B45","Tapirus_terrestris","ABS",0
"B45","Tapirus_terrestris","Cellulose",0
"B45","Tapirus_terrestris","Other",0
"B45","Tapirus_terrestris","Polyamide",0
"B45","Tapirus_terrestris","Polyester",0
"B45","Tapirus_terrestris","Polyethylene",0
"B45","Tapirus_terrestris","Polypropylene",0
"B45","Tapirus_terrestris","Polystyrene",0
"B45","Tapirus_terrestris","PVC",1.25
"B45","Tapirus_terrestris","Silicon",0
"B45","Tapirus_terrestris","Rubber",0
"B45","Tapirus_terrestris","PET",0
"B45","Tapirus_terrestris","Teflon",3.75
"B46","Tapirus_terrestris","ABS",0
"B46","Tapirus_terrestris","Cellulose",0
"B46","Tapirus_terrestris","Other",0
"B46","Tapirus_terrestris","Polyamide",0
"B46","Tapirus_terrestris","Polyester",0
"B46","Tapirus_terrestris","Polyethylene",0
"B46","Tapirus_terrestris","Polypropylene",0
"B46","Tapirus_terrestris","Polystyrene",2.5
"B46","Tapirus_terrestris","PVC",1.25
"B46","Tapirus_terrestris","Silicon",0
"B46","Tapirus_terrestris","Rubber",0
"B46","Tapirus_terrestris","PET",0
"B46","Tapirus_terrestris","Teflon",0
"B47","Tapirus_terrestris","ABS",0
"B47","Tapirus_terrestris","Cellulose",0
"B47","Tapirus_terrestris","Other",11.25
"B47","Tapirus_terrestris","Polyamide",0
"B47","Tapirus_terrestris","Polyester",0
"B47","Tapirus_terrestris","Polyethylene",1.25
"B47","Tapirus_terrestris","Polypropylene",110
"B47","Tapirus_terrestris","Polystyrene",0
"B47","Tapirus_terrestris","PVC",1.25
"B47","Tapirus_terrestris","Silicon",0
"B47","Tapirus_terrestris","Rubber",0
"B47","Tapirus_terrestris","PET",0
"B47","Tapirus_terrestris","Teflon",1.25
"B48","Tapirus_terrestris","ABS",1.25
"B48","Tapirus_terrestris","Cellulose",0
"B48","Tapirus_terrestris","Other",8.75
"B48","Tapirus_terrestris","Polyamide",41.25
"B48","Tapirus_terrestris","Polyester",0
"B48","Tapirus_terrestris","Polyethylene",0
"B48","Tapirus_terrestris","Polypropylene",0
"B48","Tapirus_terrestris","Polystyrene",0
"B48","Tapirus_terrestris","PVC",0
"B48","Tapirus_terrestris","Silicon",0
"B48","Tapirus_terrestris","Rubber",3.75
"B48","Tapirus_terrestris","PET",0
"B48","Tapirus_terrestris","Teflon",0
"B49","Tapirus_terrestris","ABS",1.25
"B49","Tapirus_terrestris","Cellulose",0
"B49","Tapirus_terrestris","Other",208.75
"B49","Tapirus_terrestris","Polyamide",247.5
"B49","Tapirus_terrestris","Polyester",1.25
"B49","Tapirus_terrestris","Polyethylene",13.75
"B49","Tapirus_terrestris","Polypropylene",716.25
"B49","Tapirus_terrestris","Polystyrene",11.25
"B49","Tapirus_terrestris","PVC",3.75
"B49","Tapirus_terrestris","Silicon",0
"B49","Tapirus_terrestris","Rubber",6.25
"B49","Tapirus_terrestris","PET",0
"B49","Tapirus_terrestris","Teflon",1.25
"B5","Myrmecophaga_tridactyla","ABS",1.25
"B5","Myrmecophaga_tridactyla","Cellulose",0
"B5","Myrmecophaga_tridactyla","Other",2.5
"B5","Myrmecophaga_tridactyla","Polyamide",1.25
"B5","Myrmecophaga_tridactyla","Polyester",0
"B5","Myrmecophaga_tridactyla","Polyethylene",0
"B5","Myrmecophaga_tridactyla","Polypropylene",0
"B5","Myrmecophaga_tridactyla","Polystyrene",0
"B5","Myrmecophaga_tridactyla","PVC",11.25
"B5","Myrmecophaga_tridactyla","Silicon",0
"B5","Myrmecophaga_tridactyla","Rubber",1.25
"B5","Myrmecophaga_tridactyla","PET",2.5
"B5","Myrmecophaga_tridactyla","Teflon",0
"B50","Tapirus_terrestris","ABS",1.25
"B50","Tapirus_terrestris","Cellulose",5
"B50","Tapirus_terrestris","Other",1.25
"B50","Tapirus_terrestris","Polyamide",0
"B50","Tapirus_terrestris","Polyester",0
"B50","Tapirus_terrestris","Polyethylene",0
"B50","Tapirus_terrestris","Polypropylene",13.75
"B50","Tapirus_terrestris","Polystyrene",0
"B50","Tapirus_terrestris","PVC",0
"B50","Tapirus_terrestris","Silicon",0
"B50","Tapirus_terrestris","Rubber",2.5
"B50","Tapirus_terrestris","PET",0
"B50","Tapirus_terrestris","Teflon",0
"B51","Tapirus_terrestris","ABS",2.5
"B51","Tapirus_terrestris","Cellulose",0
"B51","Tapirus_terrestris","Other",16.25
"B51","Tapirus_terrestris","Polyamide",0
"B51","Tapirus_terrestris","Polyester",0
"B51","Tapirus_terrestris","Polyethylene",0
"B51","Tapirus_terrestris","Polypropylene",0
"B51","Tapirus_terrestris","Polystyrene",0
"B51","Tapirus_terrestris","PVC",0
"B51","Tapirus_terrestris","Silicon",0
"B51","Tapirus_terrestris","Rubber",0
"B51","Tapirus_terrestris","PET",0
"B51","Tapirus_terrestris","Teflon",0
"B52","Tapirus_terrestris","ABS",0
"B52","Tapirus_terrestris","Cellulose",0
"B52","Tapirus_terrestris","Other",0
"B52","Tapirus_terrestris","Polyamide",32.5
"B52","Tapirus_terrestris","Polyester",0
"B52","Tapirus_terrestris","Polyethylene",0
"B52","Tapirus_terrestris","Polypropylene",0
"B52","Tapirus_terrestris","Polystyrene",1.25
"B52","Tapirus_terrestris","PVC",0
"B52","Tapirus_terrestris","Silicon",0
"B52","Tapirus_terrestris","Rubber",1.25
"B52","Tapirus_terrestris","PET",0
"B52","Tapirus_terrestris","Teflon",0
"B53","Tapirus_terrestris","ABS",1.25
"B53","Tapirus_terrestris","Cellulose",0
"B53","Tapirus_terrestris","Other",37.5
"B53","Tapirus_terrestris","Polyamide",23.75
"B53","Tapirus_terrestris","Polyester",0
"B53","Tapirus_terrestris","Polyethylene",2.5
"B53","Tapirus_terrestris","Polypropylene",22.5
"B53","Tapirus_terrestris","Polystyrene",0
"B53","Tapirus_terrestris","PVC",2.5
"B53","Tapirus_terrestris","Silicon",0
"B53","Tapirus_terrestris","Rubber",0
"B53","Tapirus_terrestris","PET",0
"B53","Tapirus_terrestris","Teflon",1.25
"B54","Tapirus_terrestris","ABS",0
"B54","Tapirus_terrestris","Cellulose",0
"B54","Tapirus_terrestris","Other",2.5
"B54","Tapirus_terrestris","Polyamide",0
"B54","Tapirus_terrestris","Polyester",0
"B54","Tapirus_terrestris","Polyethylene",0
"B54","Tapirus_terrestris","Polypropylene",0
"B54","Tapirus_terrestris","Polystyrene",3.75
"B54","Tapirus_terrestris","PVC",0
"B54","Tapirus_terrestris","Silicon",0
"B54","Tapirus_terrestris","Rubber",1.25
"B54","Tapirus_terrestris","PET",0
"B54","Tapirus_terrestris","Teflon",0
"B55","Tapirus_terrestris","ABS",0
"B55","Tapirus_terrestris","Cellulose",0
"B55","Tapirus_terrestris","Other",0
"B55","Tapirus_terrestris","Polyamide",1.25
"B55","Tapirus_terrestris","Polyester",0
"B55","Tapirus_terrestris","Polyethylene",0
