"sample","species","biome","polymer","concentration"
"B39","Tapirus_terrestris","Pantanal","Other",1.25
"B39","Tapirus_terrestris","Pantanal","Polyamide",0
"B39","Tapirus_terrestris","Pantanal","Polyester",1.25
"B39","Tapirus_terrestris","Pantanal","Polyethylene",0
"B39","Tapirus_terrestris","Pantanal","Polypropylene",1.25
"B39","Tapirus_terrestris","Pantanal","Polystyrene",0
"B39","Tapirus_terrestris","Pantanal","PVC",1.25
"B39","Tapirus_terrestris","Pantanal","Silicon",0
"B39","Tapirus_terrestris","Pantanal","Rubber",0
"B39","Tapirus_terrestris","Pantanal","PET",0
"B39","Tapirus_terrestris","Pantanal","Teflon",0
"B4","Myrmecophaga_tridactyla","Cerrado","ABS",0
"B4","Myrmecophaga_tridactyla","Cerrado","Cellulose",0
"B4","Myrmecophaga_tridactyla","Cerrado","Other",0
"B4","Myrmecophaga_tridactyla","Cerrado","Polyamide",0
"B4","Myrmecophaga_tridactyla","Cerrado","Polyester",0
"B4","Myrmecophaga_tridactyla","Cerrado","Polyethylene",0
"B4","Myrmecophaga_tridactyla","Cerrado","Polypropylene",0
"B4","Myrmecophaga_tridactyla","Cerrado","Polystyrene",0
"B4","Myrmecophaga_tridactyla","Cerrado","PVC",0
"B4","Myrmecophaga_tridactyla","Cerrado","Silicon",0
"B4","Myrmecophaga_tridactyla","Cerrado","Rubber",0
"B4","Myrmecophaga_tridactyla","Cerrado","PET",0
"B4","Myrmecophaga_tridactyla","Cerrado","Teflon",0
"B40","Tapirus_terrestris","Pantanal","ABS",0
"B40","Tapirus_terrestris","Pantanal","Cellulose",0
"B40","Tapirus_terrestris","Pantanal","Other",0
"B40","Tapirus_terrestris","Pantanal","Polyamide",0
"B40","Tapirus_terrestris","Pantanal","Polyester",0
"B40","Tapirus_terrestris","Pantanal","Polyethylene",0
"B40","Tapirus_terrestris","Pantanal","Polypropylene",0
"B40","Tapirus_terrestris","Pantanal","Polystyrene",0
"B40","Tapirus_terrestris","Pantanal","PVC",0
"B40","Tapirus_terrestris","Pantanal","Silicon",0
"B40","Tapirus_terrestris","Pantanal","Rubber",1.25
"B40","Tapirus_terrestris","Pantanal","PET",0
"B40","Tapirus_terrestris","Pantanal","Teflon",0
"B41","Tapirus_terrestris","Pantanal","ABS",0
"B41","Tapirus_terrestris","Pantanal","Cellulose",0
"B41","Tapirus_terrestris","Pantanal","Other",290
"B41","Tapirus_terrestris","Pantanal","Polyamide",0
"B41","Tapirus_terrestris","Pantanal","Polyester",0
"B41","Tapirus_terrestris","Pantanal","Polyethylene",0
"B41","Tapirus_terrestris","Pantanal","Polypropylene",222.5
"B41","Tapirus_terrestris","Pantanal","Polystyrene",1.25
"B41","Tapirus_terrestris","Pantanal","PVC",0
"B41","Tapirus_terrestris","Pantanal","Silicon",0
"B41","Tapirus_terrestris","Pantanal","Rubber",0
"B41","Tapirus_terrestris","Pantanal","PET",0
"B41","Tapirus_terrestris","Pantanal","Teflon",0
"B42","Tapirus_terrestris","Cerrado","ABS",0
"B42","Tapirus_terrestris","Cerrado","Cellulose",0
"B42","Tapirus_terrestris","Cerrado","Other",37.5
"B42","Tapirus_terrestris","Cerrado","Polyamide",0
"B42","Tapirus_terrestris","Cerrado","Polyester",0
"B42","Tapirus_terrestris","Cerrado","Polyethylene",0
"B42","Tapirus_terrestris","Cerrado","Polypropylene",21.25
"B42","Tapirus_terrestris","Cerrado","Polystyrene",0
"B42","Tapirus_terrestris","Cerrado","PVC",0
"B42","Tapirus_terrestris","Cerrado","Silicon",0
"B42","Tapirus_terrestris","Cerrado","Rubber",0
"B42","Tapirus_terrestris","Cerrado","PET",0
"B42","Tapirus_terrestris","Cerrado","Teflon",0
"B43","Tapirus_terrestris","Amazon","ABS",0
"B43","Tapirus_terrestris","Amazon","Cellulose",1.25
"B43","Tapirus_terrestris","Amazon","Other",10
"B43","Tapirus_terrestris","Amazon","Polyamide",0
"B43","Tapirus_terrestris","Amazon","Polyester",0
"B43","Tapirus_terrestris","Amazon","Polyethylene",0
"B43","Tapirus_terrestris","Amazon","Polypropylene",0
"B43","Tapirus_terrestris","Amazon","Polystyrene",0
"B43","Tapirus_terrestris","Amazon","PVC",0
"B43","Tapirus_terrestris","Amazon","Silicon",0
"B43","Tapirus_terrestris","Amazon","Rubber",0
"B43","Tapirus_terrestris","Amazon","PET",0
"B43","Tapirus_terrestris","Amazon","Teflon",0
"B44","Tapirus_terrestris","Amazon","ABS",0
"B44","Tapirus_terrestris","Amazon","Cellulose",0
"B44","Tapirus_terrestris","Amazon","Other",1.25
"B44","Tapirus_terrestris","Amazon","Polyamide",0
"B44","Tapirus_terrestris","Amazon","Polyester",0
"B44","Tapirus_terrestris","Amazon","Polyethylene",0
"B44","Tapirus_terrestris","Amazon","Polypropylene",0
"B44","Tapirus_terrestris","Amazon","Polystyrene",5
"B44","Tapirus_terrestris","Amazon","PVC",3.75
"B44","Tapirus_terrestris","Amazon","Silicon",1.25
"B44","Tapirus_terrestris","Amazon","Rubber",0
"B44","Tapirus_terrestris","Amazon","PET",0
"B44","Tapirus_terrestris","Amazon","Teflon",0
"B45","Tapirus_terrestris","Amazon","ABS",0
"B45","Tapirus_terrestris","Amazon","Cellulose",0
"B45","Tapirus_terrestris","Amazon","Other",0
"B45","Tapirus_terrestris","Amazon","Polyamide",0
"B45","Tapirus_terrestris","Amazon","Polyester",0
"B45","Tapirus_terrestris","Amazon","Polyethylene",0
"B45","Tapirus_terrestris","Amazon","Polypropylene",0
"B45","Tapirus_terrestris","Amazon","Polystyrene",0
"B45","Tapirus_terrestris","Amazon","PVC",1.25
"B45","Tapirus_terrestris","Amazon","Silicon",0
"B45","Tapirus_terrestris","Amazon","Rubber",0
"B45","Tapirus_terrestris","Amazon","PET",0
"B45","Tapirus_terrestris","Amazon","Teflon",3.75
"B46","Tapirus_terrestris","Amazon","ABS",0
"B46","Tapirus_terrestris","Amazon","Cellulose",0
"B46","Tapirus_terrestris","Amazon","Other",0
"B46","Tapirus_terrestris","Amazon","Polyamide",0
"B46","Tapirus_terrestris","Amazon","Polyester",0
"B46","Tapirus_terrestris","Amazon","Polyethylene",0
"B46","Tapirus_terrestris","Amazon","Polypropylene",0
"B46","Tapirus_terrestris","Amazon","Polystyrene",2.5
"B46","Tapirus_terrestris","Amazon","PVC",1.25
"B46","Tapirus_terrestris","Amazon","Silicon",0
"B46","Tapirus_terrestris","Amazon","Rubber",0
"B46","Tapirus_terrestris","Amazon","PET",0
"B46","Tapirus_terrestris","Amazon","Teflon",0
"B47","Tapirus_terrestris","Amazon","ABS",0
"B47","Tapirus_terrestris","Amazon","Cellulose",0
"B47","Tapirus_terrestris","Amazon","Other",11.25
"B47","Tapirus_terrestris","Amazon","Polyamide",0
"B47","Tapirus_terrestris","Amazon","Polyester",0
"B47","Tapirus_terrestris","Amazon","Polyethylene",1.25
