"species","Width"
"Myrmecophaga_tridactyla",54.48
"Myrmecophaga_tridactyla",8.73
"Myrmecophaga_tridactyla",16.08
"Myrmecophaga_tridactyla",1.83
"Myrmecophaga_tridactyla",8.99
"Myrmecophaga_tridactyla",18.1
"Myrmecophaga_tridactyla",13.08
"Myrmecophaga_tridactyla",13.3
"Myrmecophaga_tridactyla",18.01
"Myrmecophaga_tridactyla",6.36
"Myrmecophaga_tridactyla",17.37
"Myrmecophaga_tridactyla",3.66
"Myrmecophaga_tridactyla",11.55
"Myrmecophaga_tridactyla",30.16
"Myrmecophaga_tridactyla",3.11
"Myrmecophaga_tridactyla",30.04
"Myrmecophaga_tridactyla",8.73
"Myrmecophaga_tridactyla",3.11
"Myrmecophaga_tridactyla",1.85
"Myrmecophaga_tridactyla",9.32
"Myrmecophaga_tridactyla",13.83
"Myrmecophaga_tridactyla",14.76
"Myrmecophaga_tridactyla",5.18
"Myrmecophaga_tridactyla",3.11
"Myrmecophaga_tridactyla",14.64
"Myrmecophaga_tridactyla",75.99
"Myrmecophaga_tridactyla",14.78
"Myrmecophaga_tridactyla",15.91
"Myrmecophaga_tridactyla",2.78
"Myrmecophaga_tridactyla",16.07
"Myrmecophaga_tridactyla",7.41
"Myrmecophaga_tridactyla",15.53
"Myrmecophaga_tridactyla",18.64
"Myrmecophaga_tridactyla",33.69
"Myrmecophaga_tridactyla",24.4
"Myrmecophaga_tridactyla",12.76
"Myrmecophaga_tridactyla",15.21
"Myrmecophaga_tridactyla",3.24
"Myrmecophaga_tridactyla",4.88
"Myrmecophaga_tridactyla",4.14
"Myrmecophaga_tridactyla",6.76
"Myrmecophaga_tridactyla",16.81
"Myrmecophaga_tridactyla",7.87
"Myrmecophaga_tridactyla",13.46
"Myrmecophaga_tridactyla",24.78
"Myrmecophaga_tridactyla",3.81
"Myrmecophaga_tridactyla",6.21
"Myrmecophaga_tridactyla",3.73
"Myrmecophaga_tridactyla",2.2
"Myrmecophaga_tridactyla",2.93
"Myrmecophaga_tridactyla",1.15
"Myrmecophaga_tridactyla",20.37
"Myrmecophaga_tridactyla",1.46
"Myrmecophaga_tridactyla",11.13
"Myrmecophaga_tridactyla",3.73
"Myrmecophaga_tridactyla",3.73
"Myrmecophaga_tridactyla",12.03
"Myrmecophaga_tridactyla",36.11
"Myrmecophaga_tridactyla",3.7
"Myrmecophaga_tridactyla",7.83
"Myrmecophaga_tridactyla",2.95
"Myrmecophaga_tridactyla",3.7
"Myrmecophaga_tridactyla",9.14
"Myrmecophaga_tridactyla",7.66
"Myrmecophaga_tridactyla",3.1
"Myrmecophaga_tridactyla",7.24
"Myrmecophaga_tridactyla",2.52
"Myrmecophaga_tridactyla",7.08
"Myrmecophaga_tridactyla",37.17
"Myrmecophaga_tridactyla",2.97
"Priodontes_maximus",6.86
"Priodontes_maximus",2.24
"Priodontes_maximus",19.21
"Priodontes_maximus",6.33
"Priodontes_maximus",3.16
"Priodontes_maximus",2.92
"Priodontes_maximus",3.59
"Priodontes_maximus",4.54
"Priodontes_maximus",4.06
"Priodontes_maximus",4.31
"Priodontes_maximus",6.46
"Priodontes_maximus",4.31
"Priodontes_maximus",8.13
"Priodontes_maximus",6.02
"Priodontes_maximus",22.98
"Priodontes_maximus",4.18
"Priodontes_maximus",5.07
"Priodontes_maximus",7.11
"Priodontes_maximus",9.14
"Priodontes_maximus",10.06
"Priodontes_maximus",7.9
"Priodontes_maximus",2.89
"Priodontes_maximus",12.72
"Priodontes_maximus",3.05
"Priodontes_maximus",5.75
"Priodontes_maximus",8.63
"Priodontes_maximus",7.11
"Priodontes_maximus",7.18
"Priodontes_maximus",10.92
"Priodontes_maximus",5.08
"Priodontes_maximus",3.05
"Priodontes_maximus",8.18
"Priodontes_maximus",6.79
"Priodontes_maximus",9.87
"Myrmecophaga_tridactyla",5.86
"Myrmecophaga_tridactyla",3.84
"Myrmecophaga_tridactyla",2.9
"Myrmecophaga_tridactyla",1.3
"Myrmecophaga_tridactyla",24.77
"Myrmecophaga_tridactyla",4.78
"Myrmecophaga_tridactyla",6.42
"Myrmecophaga_tridactyla",2.9
"Myrmecophaga_tridactyla",2.65
"Myrmecophaga_tridactyla",17.67
"Myrmecophaga_tridactyla",2.05
"Myrmecophaga_tridactyla",19.33
"Myrmecophaga_tridactyla",3.11
"Myrmecophaga_tridactyla",3.42
"Myrmecophaga_tridactyla",2.9
"Myrmecophaga_tridactyla",2.16
"Myrmecophaga_tridactyla",6.86
"Myrmecophaga_tridactyla",5.8
"Myrmecophaga_tridactyla",4.92
"Myrmecophaga_tridactyla",4.1
"Myrmecophaga_tridactyla",4.13
"Myrmecophaga_tridactyla",4.91
"Myrmecophaga_tridactyla",2.9
"Myrmecophaga_tridactyla",4.1
"Myrmecophaga_tridactyla",2.9
"Myrmecophaga_tridactyla",4.83
"Myrmecophaga_tridactyla",6.77
"Myrmecophaga_tridactyla",3.87
"Myrmecophaga_tridactyla",7.73
"Myrmecophaga_tridactyla",3.87
"Myrmecophaga_tridactyla",6.77
"Myrmecophaga_tridactyla",5.2
"Myrmecophaga_tridactyla",9.38
"Myrmecophaga_tridactyla",2.73
"Myrmecophaga_tridactyla",8.88
"Myrmecophaga_tridactyla",3.42
"Myrmecophaga_tridactyla",3.87
"Myrmecophaga_tridactyla",4.1
"Myrmecophaga_tridactyla",2.73
"Myrmecophaga_tridactyla",5.56
"Myrmecophaga_tridactyla",21.07
"Myrmecophaga_tridactyla",3.67
"Myrmecophaga_tridactyla",30.78
"Myrmecophaga_tridactyla",4.1
"Myrmecophaga_tridactyla",1.9
"Myrmecophaga_tridactyla",0.68
"Myrmecophaga_tridactyla",3.87
"Myrmecophaga_tridactyla",2.73
"Myrmecophaga_tridactyla",4.83
"Myrmecophaga_tridactyla",2.41
"Myrmecophaga_tridactyla",5.87
"Myrmecophaga_tridactyla",2.9
"Myrmecophaga_tridactyla",26.85
"Myrmecophaga_tridactyla",2.73
"Myrmecophaga_tridactyla",8.21
"Tapirus_terrestris",6.43
"Tapirus_terrestris",7.63
"Tapirus_terrestris",2.74
"Tapirus_terrestris",4.45
"Tapirus_terrestris",12.38
