"species","Length"
"Myrmecophaga_tridactyla",6.54
"Myrmecophaga_tridactyla",5.12
"Myrmecophaga_tridactyla",5.55
"Myrmecophaga_tridactyla",64.55
"Myrmecophaga_tridactyla",10.88
"Myrmecophaga_tridactyla",33.26
"Myrmecophaga_tridactyla",2.56
"Myrmecophaga_tridactyla",12.26
"Myrmecophaga_tridactyla",27.47
"Myrmecophaga_tridactyla",20.43
"Myrmecophaga_tridactyla",20.52
"Myrmecophaga_tridactyla",24.05
"Myrmecophaga_tridactyla",8.09
"Myrmecophaga_tridactyla",20.13
"Myrmecophaga_tridactyla",4.39
"Myrmecophaga_tridactyla",16.07
"Myrmecophaga_tridactyla",43.93
"Myrmecophaga_tridactyla",3.11
"Myrmecophaga_tridactyla",112.76
"Myrmecophaga_tridactyla",18.65
"Myrmecophaga_tridactyla",7.25
"Myrmecophaga_tridactyla",7.41
"Myrmecophaga_tridactyla",21.74
"Myrmecophaga_tridactyla",40.22
"Myrmecophaga_tridactyla",42.68
"Myrmecophaga_tridactyla",10.35
"Myrmecophaga_tridactyla",4.14
"Myrmecophaga_tridactyla",28.71
"Myrmecophaga_tridactyla",131.03
"Myrmecophaga_tridactyla",59.31
"Myrmecophaga_tridactyla",49.18
"Myrmecophaga_tridactyla",7.41
"Myrmecophaga_tridactyla",28.87
"Myrmecophaga_tridactyla",7.41
"Myrmecophaga_tridactyla",34.16
"Myrmecophaga_tridactyla",68.23
"Myrmecophaga_tridactyla",118.7
"Myrmecophaga_tridactyla",26.31
"Myrmecophaga_tridactyla",16.69
"Myrmecophaga_tridactyla",25.26
"Myrmecophaga_tridactyla",7.41
"Myrmecophaga_tridactyla",6.32
"Myrmecophaga_tridactyla",4.14
"Myrmecophaga_tridactyla",30.56
"Myrmecophaga_tridactyla",26.51
"Myrmecophaga_tridactyla",13.89
"Myrmecophaga_tridactyla",22.77
"Myrmecophaga_tridactyla",167.24
"Myrmecophaga_tridactyla",16.58
"Myrmecophaga_tridactyla",6.21
"Myrmecophaga_tridactyla",35.14
"Myrmecophaga_tridactyla",12.44
"Myrmecophaga_tridactyla",4.39
"Myrmecophaga_tridactyla",5.17
"Myrmecophaga_tridactyla",76.29
"Myrmecophaga_tridactyla",9.51
"Myrmecophaga_tridactyla",15.5
"Myrmecophaga_tridactyla",5.45
"Myrmecophaga_tridactyla",26.43
"Myrmecophaga_tridactyla",21.75
"Myrmecophaga_tridactyla",71.34
"Myrmecophaga_tridactyla",4.63
"Myrmecophaga_tridactyla",28.97
"Myrmecophaga_tridactyla",8.84
"Myrmecophaga_tridactyla",7.41
"Myrmecophaga_tridactyla",106.61
"Myrmecophaga_tridactyla",14.1
"Myrmecophaga_tridactyla",6.64
"Myrmecophaga_tridactyla",12.15
"Myrmecophaga_tridactyla",6.4
"Myrmecophaga_tridactyla",9.74
"Myrmecophaga_tridactyla",167.07
"Myrmecophaga_tridactyla",3.96
"Priodontes_maximus",11.18
"Priodontes_maximus",11.18
"Priodontes_maximus",91.99
"Priodontes_maximus",8.44
"Priodontes_maximus",5.27
"Priodontes_maximus",2.92
"Priodontes_maximus",4.31
"Priodontes_maximus",5
"Priodontes_maximus",5.08
"Priodontes_maximus",5.75
"Priodontes_maximus",10.06
"Priodontes_maximus",7.9
"Priodontes_maximus",12.19
"Priodontes_maximus",10.56
"Priodontes_maximus",24.42
"Priodontes_maximus",7.39
"Priodontes_maximus",9.01
"Priodontes_maximus",10.16
"Priodontes_maximus",14.22
"Priodontes_maximus",10.77
"Priodontes_maximus",7.9
"Priodontes_maximus",5.14
"Priodontes_maximus",18.17
"Priodontes_maximus",5.08
"Priodontes_maximus",6.46
"Priodontes_maximus",14.08
"Priodontes_maximus",9.14
"Priodontes_maximus",10.06
"Priodontes_maximus",15.42
"Priodontes_maximus",5.08
"Priodontes_maximus",4.06
"Priodontes_maximus",10.9
"Priodontes_maximus",7.73
"Priodontes_maximus",14.03
"Myrmecophaga_tridactyla",6.8
"Myrmecophaga_tridactyla",12.83
"Myrmecophaga_tridactyla",2.9
"Myrmecophaga_tridactyla",3.89
"Myrmecophaga_tridactyla",29.14
"Myrmecophaga_tridactyla",6.83
"Myrmecophaga_tridactyla",7.64
"Myrmecophaga_tridactyla",2.9
"Myrmecophaga_tridactyla",5.12
"Myrmecophaga_tridactyla",33.12
"Myrmecophaga_tridactyla",6.15
"Myrmecophaga_tridactyla",37.69
"Myrmecophaga_tridactyla",15.73
"Myrmecophaga_tridactyla",4.1
"Myrmecophaga_tridactyla",5.8
"Myrmecophaga_tridactyla",3.03
"Myrmecophaga_tridactyla",24.28
"Myrmecophaga_tridactyla",6.77
"Myrmecophaga_tridactyla",14.06
"Myrmecophaga_tridactyla",6.83
"Myrmecophaga_tridactyla",7
"Myrmecophaga_tridactyla",12.17
"Myrmecophaga_tridactyla",4.83
"Myrmecophaga_tridactyla",4.78
"Myrmecophaga_tridactyla",7.73
"Myrmecophaga_tridactyla",7.73
"Myrmecophaga_tridactyla",8.7
"Myrmecophaga_tridactyla",5.8
"Myrmecophaga_tridactyla",16.43
"Myrmecophaga_tridactyla",3.87
"Myrmecophaga_tridactyla",7.73
"Myrmecophaga_tridactyla",6.42
"Myrmecophaga_tridactyla",18.28
"Myrmecophaga_tridactyla",6.83
"Myrmecophaga_tridactyla",12.3
"Myrmecophaga_tridactyla",4.1
"Myrmecophaga_tridactyla",7.73
"Myrmecophaga_tridactyla",6.15
"Myrmecophaga_tridactyla",5.47
"Myrmecophaga_tridactyla",7.94
"Myrmecophaga_tridactyla",33.02
