"source","length"
"blood",16.21
"blood",4.94
"blood",5.98
"blood",14.1
"blood",3.53
"blood",12.49
"blood",13.89
"blood",8.47
"blood",9.87
"blood",16.66
"blood",11.35
"blood",7.05
"blood",6.11
"blood",18.94
"blood",4.35
"blood",17.04
"blood",6.35
"blood",3.99
"blood",17.41
"blood",19.7
"blood",20.13
"blood",6.98
"blood",6.31
"blood",7.98
"blood",7.76
"blood",11.85
"blood",14.19
"blood",4.9
"blood",15.83
"blood",12.96
"blood",4.42
"blood",4.99
"blood",2.82
"blood",4.99
"blood",21.54
"blood",10.56
"blood",5.64
"blood",7.23
"blood",18.94
"blood",9.87
"blood",4.99
"blood",6.69
"blood",8.46
"blood",3.99
"blood",7.05
"blood",12.69
"blood",4.99
"blood",2.99
"blood",6.18
"blood",14.1
"blood",7.01
"blood",8.38
"blood",7.05
"blood",6.98
"blood",8.03
"blood",12.3
"blood",3.99
"blood",8.97
"blood",10.97
"blood",19.17
"blood",7.58
"blood",6.98
"blood",9.97
"blood",10.58
"blood",9.36
"blood",9.92
"blood",14.27
"blood",6.36
"blood",14.42
"blood",6.98
"blood",12.69
"blood",6.98
"blood",10.09
"blood",8.92
"blood",11.66
"blood",10.58
"blood",6.35
"blood",7.98
"blood",10.94
"blood",6.35
"blood",7.98
"blood",13.56
"blood",5.64
"blood",8.47
"blood",4.99
"blood",10.6
"blood",7.57
"blood",12.96
"blood",9.97
"blood",23.58
"blood",6.35
"blood",7.05
"blood",12.52
"blood",40.31
"blood",5.36
"blood",4.23
"blood",7.98
"blood",17.62
"blood",11.98
"blood",17.33
"blood",13.56
"blood",5.64
"blood",14.44
"blood",7.98
"blood",9.4
"blood",10.26
"blood",3.99
"blood",20.51
"blood",5.8
"blood",4.99
"blood",6.24
"blood",6.98
"blood",3.57
"blood",7.05
"blood",14.38
"blood",11.04
"blood",6.98
"blood",12.69
"blood",11.59
"blood",5.64
"blood",6.98
"blood",15.05
"blood",8.92
"blood",7.05
"blood",12.96
"blood",10.97
"blood",15.76
"blood",7.19
"blood",21.96
"blood",6.98
"blood",12.78
"blood",9.97
"blood",9.36
"blood",14.52
"blood",10.97
"blood",9.14
"blood",15.83
"blood",13.38
"blood",10.2
"blood",7.05
"blood",6.24
"blood",7.98
"blood",8.97
"blood",7.05
"blood",14.96
"blood",10.64
"blood",11.11
"blood",14.5
"blood",4.11
"blood",11.96
"blood",5.98
"blood",7.98
"blood",10.97
"blood",7.25
"blood",6.24
"blood",14.96
"blood",7.76
"blood",5.25
"blood",5.98
"blood",10.97
"blood",20.06
"blood",20.94
"blood",29.91
"blood",2.99
"blood",3.57
"blood",8.97
"blood",20.4
"blood",7.76
"blood",18.81
"blood",16.12
"blood",19.17
"blood",3.57
"blood",3.95
"blood",6.29
"blood",3.95
"blood",3.75
"blood",4.86
"blood",2.97
"blood",5.75
"blood",7.51
"blood",5.73
"blood",5.59
"blood",4.86
"blood",6.71
"blood",6.92
"blood",3.95
"blood",8.14
"blood",4.42
"blood",9.88
"blood",2.8
"blood",3.95
"blood",7.51
"blood",3.54
"blood",10.87
"blood",6.92
"blood",9.08
"blood",7.69
"blood",6.92
"blood",5.59
"blood",19.27
"blood",6.63
"blood",2.97
"blood",5.59
"blood",5.93
"blood",10.87
"blood",18.24
"blood",2.97
"blood",18.22
"blood",7.43
"blood",2.97
"blood",4.19
"blood",10.87
"blood",6.47
"blood",10.42
"blood",7.69
"blood",7.91
"blood",6.63
"blood",10.31
"blood",2.97
"blood",4.25
"blood",11.21
"blood",12.17
"blood",7.23
"blood",6.01
"blood",10.31
"blood",8.02
"blood",15.65
"blood",3.01
"blood",8.3
"blood",3.87
"blood",14.27
"blood",5.81
"blood",15.05
"blood",4.11
"blood",6.77
"blood",7.78
"blood",13.85
"blood",5.34
"blood",16.9
"blood",5.96
"blood",3.97
"blood",25.16
"blood",5.75
"blood",15.96
"blood",9.24
"blood",5.9
"blood",12.92
"blood",17.25
"blood",10.15
"blood",6.09
"blood",9.13
"blood",8.12
"blood",9.4
"blood",3.05
"blood",12.18
"blood",9.31
"blood",5.66
"blood",9.01
"blood",6.09
"blood",13.19
"blood",14.07
"blood",10.15
"blood",14.53
"blood",14.21
"blood",13.64
"blood",6.09
"blood",6.09
"blood",13.62
"blood",7.16
"blood",4.31
"blood",12.26
"blood",17.25
"blood",9.19
"blood",14.35
"blood",12.18
"blood",11.87
"blood",12.18
"blood",5.18
"blood",10.15
"blood",16.02
"blood",10.05
"blood",16.87
"blood",5.9
"blood",8.12
"blood",7.18
"blood",7.89
"blood",26.09
"blood",19.38
"blood",10.44
"blood",8.12
"blood",3.05
"blood",9.99
"blood",7.16
"blood",7.26
"blood",6.35
"blood",15.79
"blood",7.1
"blood",5.08
"blood",7.18
"blood",7.35
"blood",15.22
"blood",18.27
"blood",8.12
"blood",11.48
"blood",14.21
"blood",8.16
"blood",30.72
"blood",14.82
"blood",8.12
"blood",9.13
"blood",14.75
"blood",10.15
"blood",17.25
"blood",15.43
"blood",17.25
"blood",16.52
"blood",4.17
"blood",10.15
"blood",17.59
"blood",8.61
"blood",11.16
"blood",5.08
"blood",13.63
"blood",13.31
"blood",4.06
"blood",27.69
"blood",9.08
"blood",12.25
"blood",11.05
"blood",4.54
"blood",6.09
"blood",11.16
"blood",3.05
"blood",11.35
"blood",9.33
"blood",20.81
"blood",4.06
"blood",22.82
"blood",18.61
"blood",12.67
"blood",8.12
"blood",16.19
"blood",25.04
"blood",7.1
"blood",8.58
"blood",6.06
"blood",13.16
"blood",4.97
"blood",26.82
"blood",14.6
"blood",7.3
"blood",9.89
"blood",31.16
"blood",5.42
"blood",31.78
"blood",15.29
"blood",18.96
"blood",11.15
"blood",22.85
"blood",17.37
"blood",6.06
"blood",18.61
"blood",22.13
"blood",5.05
"blood",4.51
"blood",18.02
"blood",8.62
"blood",9.64
"blood",6.06
"blood",3.03
"blood",5.05
"blood",8.4
"blood",33.51
"blood",8.68
"blood",11.42
"blood",3.03
"blood",15.14
"blood",3.57
"blood",16.1
"blood",16.25
"blood",5.05
"blood",5.39
"blood",16.3
"blood",20.35
"blood",6.94
"blood",28.54
"blood",8.57
"blood",21.28
"blood",6.76
"blood",4.03
"blood",16.4
"blood",3.03
"blood",8.07
"blood",5.04
"blood",3.61
"blood",5.7
"blood",9.02
"blood",3.03
"blood",16.26
"blood",8.47
"blood",9.07
"blood",5.04
"blood",4.03
"blood",11.48
"blood",19.7
"blood",17.79
"blood",10.06
"blood",5.04
"blood",4.99
"blood",10.35
"blood",7.06
"blood",5.04
"blood",4.28
"blood",9.07
"blood",8.29
"blood",8.07
"blood",7.06
"blood",13.08
"blood",7.21
"blood",25.21
"blood",9.27
"blood",5.04
"blood",8.95
"blood",6.11
"blood",4.28
"blood",9.07
"blood",16.78
"blood",4.06
"blood",6.38
"blood",3.03
"blood",13.55
"blood",17.11
"blood",4.06
"blood",5.04
"blood",4.03
"blood",9.27
"blood",8.07
"blood",14.61
"blood",9.07
"blood",5.04
"blood",5.04
"blood",4.03
"blood",2.85
"blood",7.06
"blood",6.42
"blood",4.06
"blood",7.84
"blood",4.03
"blood",6.05
"blood",5.41
"blood",4.03
"blood",11.09
"blood",5.41
"blood",7.67
"blood",12.46
"blood",7.12
"blood",6.31
"blood",4.99
"blood",4.28
"blood",3.57
"blood",5.04
"blood",4.03
"blood",10.08
"blood",10.08
"blood",2.85
"blood",3.03
"blood",8.61
"blood",19.96
"blood",4.03
"blood",11.09
"blood",4.75
"blood",11.72
"blood",8.29
"blood",3.57
"blood",5.04
"blood",7.13
"blood",6.11
"blood",5.04
"blood",7.13
"blood",25.48
"blood",5.04
"blood",4.03
"blood",3.57
"blood",14.43
"blood",6.53
"blood",4.47
"blood",7.13
"blood",7.67
"blood",8.07
"blood",11.41
"blood",24.86
"blood",11
"blood",7.13
"blood",10.03
"blood",7.3
"blood",5.04
"blood",27.22
"blood",9.98
"blood",5.04
"blood",6.42
"blood",23.62
"blood",9.54
"blood",10.08
"blood",11.09
"blood",13.11
"blood",8.07
"blood",8.57
"blood",10.69
"blood",11.09
"blood",3.03
"blood",4.03
"blood",10.76
"blood",3.57
"blood",9.88
"blood",3.03
"blood",14.35
"blood",10.59
"blood",4.28
"blood",6.06
"blood",4.51
"blood",6.43
"blood",4.03
"blood",6.05
"blood",3.61
"blood",14.43
"blood",6.71
"blood",4.03
"blood",10.69
"blood",9.27
"blood",4.99
"blood",4.28
"blood",4.28
"blood",5.1
"blood",7.13
"blood",12.1
"blood",8.07
"blood",7.06
"blood",8.07
"blood",17.16
"blood",20.11
"blood",4.03
"blood",14.88
"blood",5.7
"blood",4.15
"blood",4.99
"blood",20.68
"blood",8.19
"blood",6.7
"blood",5.7
"blood",11.27
"blood",7.06
"blood",4.03
"blood",6.42
"blood",4.03
"blood",5.04
"blood",15.82
"blood",3.57
"blood",21.52
"blood",3.16
"blood",12.58
"blood",33.53
"blood",5.86
"blood",11.09
"blood",5.74
"blood",6.05
"blood",4.03
"blood",16.48
"blood",4.28
"blood",23.4
"blood",17.14
"blood",15.69
"blood",4.03
"blood",4.28
"blood",3.03
"blood",14.04
"blood",6.53
"blood",5.04
"blood",7.21
"blood",35.66
"blood",7.51
"blood",5.04
"blood",4.06
"blood",7.06
"blood",4.03
"blood",5.04
"blood",4.51
"blood",5.24
"blood",4.03
"blood",5.04
"blood",5.04
"blood",17.12
"blood",13.05
"blood",6.05
"blood",5.04
"blood",4.99
"blood",4.03
"blood",10.08
"blood",4.28
"blood",5.74
"blood",6.42
"blood",4.47
"blood",2.85
"blood",15.7
"blood",15.73
"blood",7.06
"blood",12.1
"blood",3.03
"blood",8.07
"blood",12.7
"blood",22.38
"blood",6.31
"blood",10.08
"blood",8.7
"blood",4.03
"blood",4.28
"blood",8.07
"blood",4.99
"blood",10.08
"blood",10.69
"blood",9.27
"blood",8.07
"blood",6.05
"blood",5.04
"blood",11.09
"blood",2.85
"blood",16.13
"blood",10.69
"blood",2.85
"blood",6.7
"blood",6.42
"blood",9.27
"blood",3.16
"blood",6.05
"blood",9.98
"blood",12.06
"blood",7.21
"blood",14.97
"blood",13.11
"blood",6.05
"blood",6.05
"blood",6.05
"blood",5.03
"blood",9.27
"blood",5.04
"blood",19.39
"blood",13.83
"blood",15.66
"blood",7.21
"blood",4.99
"blood",14.06
"blood",5.04
"blood",14.97
"blood",4.28
"blood",7.06
"blood",10.37
"blood",5.7
"blood",17.82
"blood",4.03
"blood",7.13
"blood",7.06
"blood",7.06
"blood",7.27
"blood",7.13
"blood",3.57
"blood",5.7
"blood",18.54
"blood",4.28
