"source","width"
"blood",14.51
"blood",11.76
"blood",5.98
"blood",6.98
"blood",10.4
"blood",5.13
"blood",3.53
"blood",8.03
"blood",9.95
"blood",8.47
"blood",5.64
"blood",3.15
"blood",12.96
"blood",8.97
"blood",5.25
"blood",5.64
"blood",7.58
"blood",2.82
"blood",3.87
"blood",3.53
"blood",8.46
"blood",2.84
"blood",2.99
"blood",4.99
"blood",5.98
"blood",2.99
"blood",2.99
"blood",6.98
"blood",6.98
"blood",7.05
"blood",8.99
"blood",2.82
"blood",5.64
"blood",4.42
"blood",4.62
"blood",9.46
"blood",3.57
"blood",4.99
"blood",5.64
"blood",8.97
"blood",6.65
"blood",5.98
"blood",5.98
"blood",7.21
"blood",10.04
"blood",7.13
"blood",7.01
"blood",3.99
"blood",5.64
"blood",7.58
"blood",6.69
"blood",2.99
"blood",6.31
"blood",3.99
"blood",6.31
"blood",6.98
"blood",5.35
"blood",2.99
"blood",10.97
"blood",4.79
"blood",2.99
"blood",4.99
"blood",4.46
"blood",4.7
"blood",3.99
"blood",7.41
"blood",12.99
"blood",6.98
"blood",4.94
"blood",4.99
"blood",5.98
"blood",10.26
"blood",4.23
"blood",6.85
"blood",3.47
"blood",2.82
"blood",15.12
"blood",7.05
"blood",2.82
"blood",5.35
"blood",2.82
"blood",8.02
"blood",2.99
"blood",8.18
"blood",8.97
"blood",6.98
"blood",5.3
"blood",7.98
"blood",3.99
"blood",6.98
"blood",5.08
"blood",9.32
"blood",6.35
"blood",3.71
"blood",3.99
"blood",9.63
"blood",6.08
"blood",5.36
"blood",5.67
"blood",4.41
"blood",5.64
"blood",4.42
"blood",2.82
"blood",6.36
"blood",9.87
"blood",5.35
"blood",6.93
"blood",9.44
"blood",4.99
"blood",4.84
"blood",14.08
"blood",3.39
"blood",11.28
"blood",4.23
"blood",5.98
"blood",8.46
"blood",2.12
"blood",12.24
"blood",12.49
"blood",7.13
"blood",7.05
"blood",15
"blood",8.2
"blood",6.35
"blood",4.63
"blood",14.96
"blood",2.66
"blood",11.12
"blood",4.94
"blood",2.99
"blood",13.73
"blood",7.65
"blood",11.88
"blood",3.99
"blood",5.68
"blood",3.99
"blood",7.05
"blood",8.22
"blood",7.57
"blood",4.01
"blood",11.39
"blood",11.96
"blood",3.04
"blood",4.99
"blood",2.82
"blood",3.99
"blood",11.76
"blood",10.56
"blood",4.23
"blood",6.45
"blood",10.97
"blood",7.76
"blood",3.99
"blood",3.57
"blood",7.05
"blood",3.99
"blood",4.94
"blood",7.76
"blood",4.99
"blood",2.99
"blood",4.59
"blood",7.05
"blood",3.87
"blood",4.19
"blood",6.35
"blood",2.99
"blood",4.9
"blood",10.72
"blood",3.99
"blood",3.99
"blood",7.98
"blood",6.69
"blood",4.46
"blood",5.98
"blood",8.97
"blood",9.17
"blood",7.13
"blood",5.47
"blood",12.48
"blood",5.53
"blood",8.85
"blood",6.98
"blood",9.17
"blood",6.98
"blood",7.25
